game_number,game_name,game_file,target_vertices,success,solve_time_seconds,winning_region_t0,winning_region_t10000,error_message
1,game_0001_chain_3,/home/pete/ontime/generated_games/game_0001_chain_3.tg,"s0,s1",True,0.081,s1,"s0,s1",
2,game_0002_chain_12,/home/pete/ontime/generated_games/game_0002_chain_12.tg,"s4,s5,s6,s11",True,0.085,"s3,s5,s7,s11","s6,s4,s5,s11",
3,game_0003_chain_10,/home/pete/ontime/generated_games/game_0003_chain_10.tg,"s3,s4,s9",True,0.086,"s7,s6,s3,s2,s5,s0,s9,s1,s8","s9,s4,s3",
4,game_0004_chain_6,/home/pete/ontime/generated_games/game_0004_chain_6.tg,s4,True,0.082,"s1,s0,s5",s4,
5,game_0005_chain_7,/home/pete/ontime/generated_games/game_0005_chain_7.tg,s6,True,0.086,"s1,s5",s6,
6,game_0006_chain_3,/home/pete/ontime/generated_games/game_0006_chain_3.tg,,False,0.000,,,No target vertices
7,game_0007_chain_10,/home/pete/ontime/generated_games/game_0007_chain_10.tg,"s0,s4,s7",True,0.084,"s4,s5,s1,s0","s0,s7,s4",
8,game_0008_chain_3,/home/pete/ontime/generated_games/game_0008_chain_3.tg,s1,True,0.080,s1,s1,
9,game_0009_chain_11,/home/pete/ontime/generated_games/game_0009_chain_11.tg,"s0,s5",True,0.084,"s5,s9,s3","s0,s5",
10,game_0010_chain_6,/home/pete/ontime/generated_games/game_0010_chain_6.tg,"s1,s4",True,0.077,"s1,s0,s5,s3,s4,s2","s1,s4",
11,game_0011_chain_10,/home/pete/ontime/generated_games/game_0011_chain_10.tg,"s0,s2,s5,s7",True,0.137,"s8,s1,s0,s2,s3,s7,s9","s0,s2,s7,s5",
12,game_0012_chain_12,/home/pete/ontime/generated_games/game_0012_chain_12.tg,"s1,s7,s10",True,0.148,"s1,s2,s4,s0,s3,s11","s1,s7,s10",
13,game_0013_chain_6,/home/pete/ontime/generated_games/game_0013_chain_6.tg,s4,True,0.148,"s5,s1,s4,s3,s0",s4,
14,game_0014_chain_3,/home/pete/ontime/generated_games/game_0014_chain_3.tg,,False,0.000,,,No target vertices
15,game_0015_chain_10,/home/pete/ontime/generated_games/game_0015_chain_10.tg,"s2,s3,s5",True,0.141,"s7,s9","s2,s3,s5",
16,game_0016_chain_7,/home/pete/ontime/generated_games/game_0016_chain_7.tg,"s0,s1,s4,s5,s6",True,0.147,"s3,s1,s5","s1,s0,s5,s6,s4",
17,game_0017_chain_7,/home/pete/ontime/generated_games/game_0017_chain_7.tg,"s4,s6",True,0.144,,"s6,s4",
18,game_0018_chain_3,/home/pete/ontime/generated_games/game_0018_chain_3.tg,s0,True,0.142,,s0,
19,game_0019_chain_7,/home/pete/ontime/generated_games/game_0019_chain_7.tg,"s1,s2",True,0.161,s1,"s1,s2",
20,game_0020_chain_7,/home/pete/ontime/generated_games/game_0020_chain_7.tg,"s2,s4,s5",True,0.159,"s1,s3","s2,s4,s5",
21,game_0021_chain_12,/home/pete/ontime/generated_games/game_0021_chain_12.tg,"s0,s2,s3,s4,s6",True,0.149,"s11,s4,s3,s2","s2,s6,s0,s3,s4",
22,game_0022_chain_10,/home/pete/ontime/generated_games/game_0022_chain_10.tg,"s0,s1,s2,s3,s6",True,0.146,"s7,s9,s6,s1,s8","s1,s2,s6,s3,s0",
23,game_0023_chain_9,/home/pete/ontime/generated_games/game_0023_chain_9.tg,"s1,s2,s3,s4,s5,s8",True,0.156,"s3,s4,s7","s3,s5,s2,s4,s8,s1",
24,game_0024_chain_9,/home/pete/ontime/generated_games/game_0024_chain_9.tg,"s3,s4,s6",True,0.150,"s5,s4,s2,s3,s0,s7,s1","s4,s3,s6",
25,game_0025_chain_7,/home/pete/ontime/generated_games/game_0025_chain_7.tg,"s2,s4",True,0.134,,"s4,s2",
26,game_0026_chain_8,/home/pete/ontime/generated_games/game_0026_chain_8.tg,s1,True,0.153,"s7,s3,s0,s1,s4",s1,
27,game_0027_chain_6,/home/pete/ontime/generated_games/game_0027_chain_6.tg,s5,True,0.154,"s0,s1,s5,s2,s3",s5,
28,game_0028_chain_10,/home/pete/ontime/generated_games/game_0028_chain_10.tg,s2,True,0.138,"s7,s3,s5,s9",s2,
29,game_0029_chain_3,/home/pete/ontime/generated_games/game_0029_chain_3.tg,"s0,s1,s2",True,0.143,,"s2,s1,s0",
30,game_0030_chain_5,/home/pete/ontime/generated_games/game_0030_chain_5.tg,s2,True,0.136,"s0,s2,s1,s3",s2,
31,game_0031_chain_9,/home/pete/ontime/generated_games/game_0031_chain_9.tg,"s0,s1,s4",True,0.142,"s2,s1,s3","s1,s4,s0",
32,game_0032_chain_7,/home/pete/ontime/generated_games/game_0032_chain_7.tg,s1,True,0.148,s3,s1,
33,game_0033_chain_5,/home/pete/ontime/generated_games/game_0033_chain_5.tg,s3,True,0.135,"s1,s0",s3,
34,game_0034_chain_4,/home/pete/ontime/generated_games/game_0034_chain_4.tg,"s0,s1",True,0.135,"s0,s3","s1,s0",
35,game_0035_chain_8,/home/pete/ontime/generated_games/game_0035_chain_8.tg,"s1,s2",True,0.136,"s1,s2,s5,s3,s4,s7,s6","s2,s1",
36,game_0036_chain_5,/home/pete/ontime/generated_games/game_0036_chain_5.tg,"s0,s3",True,0.134,"s1,s2","s3,s0",
37,game_0037_chain_8,/home/pete/ontime/generated_games/game_0037_chain_8.tg,"s4,s7",True,0.136,"s3,s6,s5,s7,s1","s4,s7",
38,game_0038_chain_12,/home/pete/ontime/generated_games/game_0038_chain_12.tg,"s0,s1,s5,s10,s11",True,0.139,"s1,s4,s11,s3,s10,s5,s9,s7,s8","s11,s5,s10,s0,s1",
39,game_0039_chain_8,/home/pete/ontime/generated_games/game_0039_chain_8.tg,"s2,s6",True,0.137,"s5,s6,s0,s1,s4,s7","s2,s6",
40,game_0040_chain_6,/home/pete/ontime/generated_games/game_0040_chain_6.tg,s2,True,0.139,"s0,s2,s1,s3,s5",s2,
41,game_0041_chain_10,/home/pete/ontime/generated_games/game_0041_chain_10.tg,"s6,s7",True,0.086,"s2,s7,s9,s3","s6,s7",
42,game_0042_chain_6,/home/pete/ontime/generated_games/game_0042_chain_6.tg,s1,True,0.137,"s3,s5",s1,
43,game_0043_chain_10,/home/pete/ontime/generated_games/game_0043_chain_10.tg,"s1,s3,s4,s7",True,0.147,"s1,s9,s5","s1,s3,s7,s4",
44,game_0044_chain_8,/home/pete/ontime/generated_games/game_0044_chain_8.tg,s0,True,0.152,"s7,s4,s3,s1,s0,s5",s0,
45,game_0045_chain_7,/home/pete/ontime/generated_games/game_0045_chain_7.tg,"s2,s5,s6",True,0.158,s3,"s2,s5,s6",
46,game_0046_chain_3,/home/pete/ontime/generated_games/game_0046_chain_3.tg,s1,True,0.160,"s0,s1",s1,
47,game_0047_chain_12,/home/pete/ontime/generated_games/game_0047_chain_12.tg,"s1,s7,s9,s10",True,0.154,"s6,s0,s9,s3,s10,s1,s11","s1,s10,s9,s7",
48,game_0048_chain_12,/home/pete/ontime/generated_games/game_0048_chain_12.tg,"s3,s10",True,0.156,"s11,s6,s9,s7,s5","s10,s3",
49,game_0049_chain_9,/home/pete/ontime/generated_games/game_0049_chain_9.tg,,False,0.000,,,No target vertices
50,game_0050_chain_5,/home/pete/ontime/generated_games/game_0050_chain_5.tg,s0,True,0.143,"s1,s3",s0,
51,game_0051_chain_8,/home/pete/ontime/generated_games/game_0051_chain_8.tg,s6,True,1.991,"s1,s7,s0,s2",s6,
52,game_0052_chain_7,/home/pete/ontime/generated_games/game_0052_chain_7.tg,"s0,s1,s2,s3,s6",True,0.142,"s1,s2","s6,s1,s0,s3,s2",
53,game_0053_chain_4,/home/pete/ontime/generated_games/game_0053_chain_4.tg,s2,True,0.139,"s0,s3,s1",s2,
